State,Transaction_count
Andaman & Nicobar,943935.0
Andhra Pradesh,458921.0
Arunachal Pradesh,531612.0
Assam,420990.0
Bihar,1256469.0
Chandigarh,534757.0
Chhattisgarh,638664.0
Dadra and Nagar Haveli and Daman and Diu,487333.0
Delhi,577090.0
Goa,679623.0
Gujarat,830324.0
Haryana,815932.0
Himachal Pradesh,863935.0
Jammu & Kashmir,
Jharkhand,
Karnataka,
Kerala,
Ladakh,
Lakshadweep,
Madhya Pradesh,
Maharashtra,
Manipur,
Meghalaya,
Mizoram,
Nagaland,
Odisha,
Puducherry,
Punjab,
Rajasthan,
Sikkim,
Tamil Nadu,
Telangana,
Tripura,
Uttar Pradesh,
Uttarakhand,
West Bengal,
