State,Transaction_amount
Andaman & Nicobar,159171214.37736017
Andhra Pradesh,242740752.86075908
Arunachal Pradesh,141719795.45667207
Assam,76205305.71023783
Bihar,86113679.88720965
Chandigarh,65482638.45705159
Chhattisgarh,62632203.02038415
Dadra and Nagar Haveli and Daman and Diu,62629397.884726554
Delhi,56179994.08014351
Goa,60539500.78249085
Gujarat,
Haryana,
Himachal Pradesh,
Jammu & Kashmir,
Jharkhand,
Karnataka,
Kerala,
Ladakh,
Lakshadweep,
Madhya Pradesh,
Maharashtra,
Manipur,
Meghalaya,
Mizoram,
Nagaland,
Odisha,
Puducherry,
Punjab,
Rajasthan,
Sikkim,
Tamil Nadu,
Telangana,
Tripura,
Uttar Pradesh,
Uttarakhand,
West Bengal,
